BCRcode,TPC_FREE,TFC_FREE,TPAC_FREE,TPC_BOUND,TFC_Bound,TPAC_BOUND,TAC_Bound,DPPH_Free,DPPH_Bound,Folate,Panthothenic_acid,a_tocopherol,Riboflavin,Na,Zn ,Fe 
bcr119,252.851908,108.634921,14.5457103,9.41401273,8.68253968,0.79506173,4.22222222,0.1084582,0.237232762,38700000,2.40E+08,5291878,4886566,20,24,17
bcr120,316.364941,146.190476,39.2475387,42.337073,14.0864198,8.01587302,11.6807314,0.21520511,0.131189794,59800000,3.23E+08,3529703,3422240,20,24,13
bcr121,127.323518,71.5873016,28.347398,15.3209877,6.82539683,11.3291139,0,0.0529209,0.828880207,40600000,2.34E+08,4239424,3954803,20,27,18
bcr124,448.979449,188.253968,48.8115331,18.654321,4.24603175,12.5246132,5.14619719,0.20242414,0.102748885,61600000,2.38E+08,3203664.5,4576364,20,29,19
bcr125,118.160494,190.238095,39.2475387,25.8148148,6.23015873,13.2981716,3.92443814,0.32540121,0.215417078,47800000,3.31E+08,4793768,1517380.2,30,22,15
bcr126,206.861111,334.268519,100.935185,31.3907407,149.809524,15.1803798,20.1414241,,,49500000,3.96E+08,4538219.5,3741721,30,20,19
bcr128,158.095238,64.3333333,25.6751055,5.19753086,3.25396825,11.4697609,0,0.16280572,0.38815945,40200000,1.78E+08,5422515.5,2631964.2,30,26,18
bcr129,233.266667,169.380952,103.253165,93.637037,24.8095238,43.932984,16.8895615,0.0549989,0.085585616,59200000,2.68E+08,5702886.5,3560075.8,20,22,18
bcr135,442.81864,269.206349,51.2025317,17.1728395,4.04761905,12.1729958,0,0.05867736,0.089255307,49100000,2.90E+08,4510923.5,5291941,20,29,18
bcr136,620.029822,319.206349,78.488045,16.8024691,2.46031746,13.0168776,0,0.08323029,0.517791426,84400000,3.52E+08,4018068.5,5862046.5,50,32,17
bcr138,115.814815,133.888889,45.7876231,17.4197531,7.61904762,14.9156118,0,0.26359697,0.558267319,53300000,4.43E+08,5719668,2107717,20,21,14
bcr139,293.602457,358.888889,67.3066104,34.8271605,38.5714286,27.7848101,18.2472555,0.15683794,0.594989834,60300000,4.70E+08,5096135,3751960,20,23,14
bcr143,243.488889,255.333333,129.877637,41.7111111,23.7380952,48.6086957,13.4788479,0.1537434,0.169298047,66100000,3.91E+08,4630810,3485845.5,20,26,17
bcr145,225.274993,241.428571,72.721519,19.3950617,18.9285714,17.7285513,3.13503967,0.0377145,0.766449295,47800000,3.17E+08,4631734.5,2170279,20,25,17
bcr146,129.52381,99.2029861,25.886076,31.7407407,15.5555556,18.1504923,10.876472,0.22242688,0.78793794,60200000,4.47E+08,5121342.5,3136996.2,20,24,18
bcr148,228.333333,159.113704,43.7482419,50.3827161,26.468254,23.0731364,10.524056,0.23020184,0.545066237,58700000,3.27E+08,4559153.5,2460948.8,30,22,15
bcr150,266.031746,175.320988,54.7890295,13.4388186,3.45238095,9.88888889,5.7855732,0.23212781,0.147517509,62700000,2.53E+08,4533630,2980666.5,30,27,18
bcr151,585.089419,372.777778,84.535865,7.79012346,8.80952381,11.6104079,0,0.09459968,2.216453772,62600000,2.51E+08,5590551,5837817,20,31,21
bcr155,232.698413,197.742627,29.8241913,12.7283951,2.85714286,11.7510549,0,0.18023428,0.261732494,46200000,2.92E+08,4433286.5,4454325,30,28,16
bcr157,67.1728395,63.8395062,38.2839506,12.5944444,129.928571,6.52004219,4.90947212,0.19430972,0.265602922,66600000,2.92E+08,5672598,6369037,20,31,14
bcr159,602.748698,339.444444,74.5499297,4.45679012,11.8917018,10.8917018,0,0.1075615,0.169952474,6.30E+07,3.31E+08,5500252.5,8681470,30,28,19
bcr170,114.047619,52.2863365,13.931083,12.9753086,11.188467,5.03968254,0,0.18892708,0.111503243,30700000,1.87E+08,4518458,761596.06,10,28,15
bcr171,383.123767,375.952381,104.507736,28.1604938,18.2911392,14.3650794,5.28210028,0.22963456,0.343390172,56200000,2.38E+08,5345913,2047659.6,20,22,13
bcr184,649.970724,242.619048,43.6075949,28.7777778,13.2278481,7.61904762,6.38008073,0.20030303,0.355112977,70900000,2.56E+08,6522568.5,8599160,20,25,14
bcr188,155.814815,130.876543,109.395062,12.4648148,81.8333333,5.1592827,17.1810048,0.15730759,0.013690406,56200000,3.54E+08,3066069,7372744,30,25,18
bcr189,98.8981482,44.4537037,36.5833333,8.24259259,8.26190476,4.157173,39.3969985,0.04459312,0.018870312,29300000,1.81E+08,4495876,6055290.5,20,26,19
bcr190,299.148148,217.790124,243.592593,13.7055556,64.3333333,7.19514768,76.1480447,0.04373591,0.02567215,52400000,2.70E+08,4379325,6523500.5,20,26,15
bcr194,173.968254,121.115292,18.0098453,11.1234568,10,10.766526,0,0.1952371,0.127789718,34100000,2.81E+08,4628216,4509655.5,10,24,11
bcr196,115.634921,84.1623792,14.3530239,16.6790124,10.907173,0.47619048,0,0.15395577,0.294948345,27900000,1.85E+08,4303527,781209.2,10,22,12
bcr198,441.66351,252.936508,45.2953587,49.6419753,18.3333333,13.5091421,0,0.21077272,0.173516486,27100000,2.64E+08,3843029.5,4898535,20,24,13
bcr199,125.691358,131.617284,70.5061728,26.0203704,85.7619048,7.39556962,13.6699701,0.20414113,0.011532196,5.40E+07,2.91E+08,4804387,7054242,30,18,14
bcr201,233.888889,68.8171287,17.3769339,13.3730159,5.07407407,10.625879,0,0.16791482,0.422630044,35600000,1.42E+08,5062047,3421499,10,22,13
bcr207,195.793651,94.3660936,16.0407876,18.2839506,11.5400844,6.23015873,0,0.24671981,0.641545617,26400000,1.91E+08,5421240,3289699.8,20,26,12
bcr210,164.047619,95.013043,21.3150492,34.8015873,17.7901235,11.2587904,0,0.16333804,0.983096079,37300000,1.40E+08,5678757,4780549,20,29,15
bcr211,59.3538616,50.5555556,13.2278481,17.1728395,9.40476191,10.4149086,0,0.18179299,0.057577633,22800000,1.42E+08,5563328.5,2547946.8,20,26,12
bcr220,236.943635,131.123457,42.6190476,108.857143,23.187037,17.2056962,98.7537495,0.25675627,0.00409222,46300000,3.38E+08,5302699.5,4040840.5,20,25,17
bcr221,201.746032,89.2716049,27.5738397,148.530864,34.0079365,13.1575246,0,0.24720725,0.194527109,51400000,2.70E+08,5157768.5,3605626.5,20,25,16
bcr223,246.984127,99.2716049,27.5738397,58.5308642,38.968254,11.9620253,12.7188397,0.21618748,0.145163163,42700000,2.00E+08,7087022.5,3487543.5,20,25,14
bcr225,132.506469,77.1428571,20.3305204,11.3907407,16.4761905,4.38924051,6.95533391,0.22576095,0.003055475,51500000,3.07E+08,6726858.5,6215094,40,20,16
bcr227,102.683076,189.047619,20.1898734,39.5185185,18.1349206,11.9620253,2.33118334,0.20539519,0.077585531,24500000,3.50E+08,4360587,6042255.5,30,24,14
bcr240,62.2345679,14.4444444,32.4261603,11.952381,5.20555556,3.95675105,43.6397522,0.13492878,0.209142733,49800000,3.12E+08,5666829,4689985,20,31,17
bcr242,38.9012346,23.8536102,23.4247539,1.83333333,4.42777778,3.51371308,19.6828779,0.35656387,0.048006815,48900000,2.32E+08,5873435.5,3159623.2,20,26,14
bcr243,190.506173,68.8095238,86.5752461,76.3571429,10.4092593,9.77953586,10.0486271,0.50749631,0.012166487,44800000,3.82E+08,5581605.5,2893566.8,20,29,16
bcr244,262.623219,196.984127,33.6216596,1.98765432,2.85714286,11.6807314,0,0.21531151,0.066146939,56900000,2.67E+08,5138146.5,4329626,20,26,15
bcr245,79.6592593,67.1654321,42.5728395,64.452381,15.2425926,4.62130802,14.1076785,0.07869691,0.030553063,62400000,2.30E+08,4891187.5,6406817,20,29,13
bcr246,38.5234568,20.6469136,12.745679,41.5952381,11.7796296,4.27320675,0.64893755,0.19133151,0.012698324,37200000,1.60E+08,5688600,4118922.2,20,24,14
bcr251,262.857143,66.2170196,15.6891702,21.9876543,16.5476191,10.766526,0,0.17624388,0.096710798,25700000,2.34E+08,21100000,3679181.8,20,28,15
bcr255,220.793651,65.6786626,26.5893108,20.5061728,15.5555556,11.04782,0,0.0495447,0.041727155,2.90E+07,1.63E+08,5827726,3999832.5,10,24,13
